idx,player,shotsMade,totalShots,threesMade,threesTaken,fldGoalPct,threesPct,imagePath,team
0,Stephen Curry,587,1261,282,693,0.466,0.407,https://w-chun.github.io/NBA-Bubble/images/sc30.png,Golden State Warriors
1,Klay Thompson,577,1229,246,587,0.469,0.419,https://w-chun.github.io/NBA-Bubble/images/kt11.png,Golden State Warriors
2,Kevin Durant,496,924,105,277,0.537,0.379,https://w-chun.github.io/NBA-Bubble/images/kd35.png,Golden State Warriors
3,Draymond Green,249,583,75,234,0.427,0.321,https://w-chun.github.io/NBA-Bubble/images/dg23.png,Golden State Warriors
4,Andre Iguodala,192,371,58,161,0.518,0.36,https://w-chun.github.io/NBA-Bubble/images/ai9.png,Golden State Warriors
5,Ian Clark,183,371,52,139,0.493,0.374,https://w-chun.github.io/NBA-Bubble/images/ic21.png,Golden State Warriors
6,JaVale McGee,171,270,0,4,0.633,0,https://w-chun.github.io/NBA-Bubble/images/jm1.png,Golden State Warriors
7,Shaun Livingston,143,266,0,1,0.538,0,https://w-chun.github.io/NBA-Bubble/images/sl34.png,Golden State Warriors
8,Zaza Pachulia,140,261,0,0,0.536,0,https://w-chun.github.io/NBA-Bubble/images/zp27.png,Golden State Warriors
9,David West,121,216,3,6,0.56,0.5,https://w-chun.github.io/NBA-Bubble/images/dw3.png,Golden State Warriors
10,Patrick McCaw,84,193,36,101,0.435,0.356,https://w-chun.github.io/NBA-Bubble/images/pm0.png,Golden State Warriors
11,Kevon Looney,55,105,2,9,0.524,0.222,https://w-chun.github.io/NBA-Bubble/images/kl36.png,Golden State Warriors
12,James Michael McAdoo,54,99,0,4,0.545,0,https://w-chun.github.io/NBA-Bubble/images/jmm20.png,Golden State Warriors
13,Matt Barnes,32,72,15,41,0.444,0.366,https://w-chun.github.io/NBA-Bubble/images/mb22.png,Golden State Warriors
14,Damian Jones,6,13,0,0,0.462,0,https://w-chun.github.io/NBA-Bubble/images/dj15.png,Golden State Warriors
15,Briante Weber,5,14,0,3,0.357,0,https://w-chun.github.io/NBA-Bubble/images/bw2.png,Golden State Warriors
16,Anderson Varejao,4,12,0,0,0.333,0,https://w-chun.github.io/NBA-Bubble/images/av18.png,Golden State Warriors
17,Golden State Warriors,3099,6260,874,2260,0.495,0.387,https://w-chun.github.io/NBA-Bubble/images/gsw.png,Golden State Warriors
